VCD info: dumpfile test.vcd opened for output.
   0 CK:0 CE:0 AR:1 CO:x Q:xxxxxxxx
   1 CK:0 CE:0 AR:0 CO:0 Q:00000000
   2 CK:1 CE:1 AR:1 CO:0 Q:00000001
   4 CK:0 CE:1 AR:1 CO:0 Q:00000001
   6 CK:1 CE:1 AR:1 CO:0 Q:00000010
   8 CK:0 CE:1 AR:1 CO:0 Q:00000010
  10 CK:1 CE:1 AR:0 CO:0 Q:00000000
  11 CK:1 CE:1 AR:1 CO:0 Q:00000000
  12 CK:0 CE:1 AR:1 CO:0 Q:00000000
  14 CK:1 CE:1 AR:1 CO:0 Q:00000001
  16 CK:0 CE:1 AR:1 CO:0 Q:00000001
  18 CK:1 CE:1 AR:1 CO:0 Q:00000010
  20 CK:0 CE:1 AR:1 CO:0 Q:00000010
  22 CK:1 CE:1 AR:1 CO:0 Q:00000011
  24 CK:0 CE:1 AR:1 CO:0 Q:00000011
  26 CK:1 CE:1 AR:1 CO:0 Q:00000100
  28 CK:0 CE:1 AR:1 CO:0 Q:00000100
  30 CK:1 CE:1 AR:1 CO:0 Q:00000101
  32 CK:0 CE:1 AR:1 CO:0 Q:00000101
  34 CK:1 CE:1 AR:1 CO:0 Q:00000110
  36 CK:0 CE:1 AR:1 CO:0 Q:00000110
  38 CK:1 CE:1 AR:1 CO:0 Q:00000111
  40 CK:0 CE:1 AR:1 CO:0 Q:00000111
  42 CK:1 CE:1 AR:1 CO:0 Q:00001000
  44 CK:0 CE:1 AR:1 CO:0 Q:00001000
  46 CK:1 CE:1 AR:1 CO:0 Q:00001001
  48 CK:0 CE:1 AR:1 CO:0 Q:00001001
  50 CK:1 CE:1 AR:1 CO:0 Q:00010000
  52 CK:0 CE:1 AR:1 CO:0 Q:00010000
  54 CK:1 CE:1 AR:1 CO:0 Q:00010001
  56 CK:0 CE:1 AR:1 CO:0 Q:00010001
  58 CK:1 CE:1 AR:1 CO:0 Q:00010010
  60 CK:0 CE:1 AR:1 CO:0 Q:00010010
  62 CK:1 CE:1 AR:1 CO:0 Q:00010011
  64 CK:0 CE:1 AR:1 CO:0 Q:00010011
  66 CK:1 CE:1 AR:1 CO:0 Q:00010100
  68 CK:0 CE:1 AR:1 CO:0 Q:00010100
  70 CK:1 CE:1 AR:1 CO:0 Q:00010101
  72 CK:0 CE:1 AR:1 CO:0 Q:00010101
  74 CK:1 CE:1 AR:1 CO:0 Q:00010110
  76 CK:0 CE:1 AR:1 CO:0 Q:00010110
